location,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction
unit,°C,mm,%,km/h,°
level,2 m elevation corrected,sfc,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20211027T0100,9.650529,0.0,84.0,3.319036,139.3987
20211027T0200,9.280529,0.0,86.0,3.8268526,131.18591
20211027T0300,8.880529,0.0,88.0,4.198285,120.96376
20211027T0400,8.320529,0.0,92.0,5.692099,124.69515
20211027T0500,7.9005284,0.0,95.0,6.489992,123.69006
20211027T0600,7.2705283,0.0,97.0,7.4128532,119.054596
20211027T0700,6.6705284,0.0,96.0,7.5942082,121.429565
20211027T0800,6.8405285,0.0,94.0,6.9153743,128.6598
20211027T0900,9.0505295,0.0,80.0,12.4811535,123.231705
20211027T1000,11.000529,0.0,73.0,13.0447235,117.97947
20211027T1100,12.750529,0.0,68.0,12.768586,111.50143
20211027T1200,14.600529,0.0,60.0,10.739833,103.570435
20211027T1300,14.960529,0.0,60.0,5.6233797,50.194427
20211027T1400,15.660529,0.0,58.0,5.2416787,15.945404
20211027T1500,15.740529,0.0,59.0,6.2145634,349.992
20211027T1600,15.400529,0.0,59.0,7.289444,339.77515
20211027T1700,14.930529,0.0,59.0,6.489992,340.55997
20211027T1800,14.440529,0.0,61.0,3.5455887,336.0375
20211027T1900,13.770529,0.0,64.0,0.8049845,243.43495
20211027T2000,12.840529,0.0,67.0,2.52,180.0
20211027T2100,11.810529,0.0,72.0,4.0249224,169.69516
20211027T2200,11.100529,0.0,71.0,5.0911684,171.8699
20211027T2300,10.400529,0.0,69.0,5.3517847,137.72632
20211028T0000,9.420529,0.0,72.0,7.5685663,115.34617
20211028T0100,8.240529,0.0,76.0,9.693296,121.32869
20211028T0200,7.3605285,0.0,78.0,8.714677,128.29016
20211028T0300,6.3905287,0.0,81.0,5.8048253,119.74488
20211028T0400,5.6805286,0.0,81.0,4.39436,124.99202
20211028T0500,5.8305287,0.0,80.0,7.5685663,115.34617
